stage_name,member_name,filename,relative_path,dtype,numel,shape,source_key,note
pvss_ds_weight_enc1_pha,ssm_dt_projection_w,ssm_dt_projection_w.bin,pvss_ds_weight_enc1_pha/ssm_dt_projection_w.bin,float32,16,16x1,layers_encoder_phase.1.blocks.0.ss2d.dt_proj_conv.weight,
pvss_ds_weight_enc1_pha,ssm_A,ssm_A.bin,pvss_ds_weight_enc1_pha/ssm_A.bin,float32,16,16x1,layers_encoder_phase.1.blocks.0.ss2d.A_logs,A = -exp(A_logs)
pvss_ds_weight_enc1_pha,ssm_Ds,ssm_Ds.bin,pvss_ds_weight_enc1_pha/ssm_Ds.bin,float32,16,16,layers_encoder_phase.1.blocks.0.ss2d.Ds,
pvss_ds_weight_enc1_pha,ssm_delta_bias,ssm_delta_bias.bin,pvss_ds_weight_enc1_pha/ssm_delta_bias.bin,float32,16,16,layers_encoder_phase.1.blocks.0.ss2d.dt_projs_bias,
pvss_ds_weight_enc1_pha,ssm_out_norm_w,ssm_out_norm_w.bin,pvss_ds_weight_enc1_pha/ssm_out_norm_w.bin,float32,4,4,layers_encoder_phase.1.blocks.0.ss2d.out_norm.weight,
pvss_ds_weight_enc1_pha,ssm_out_norm_b,ssm_out_norm_b.bin,pvss_ds_weight_enc1_pha/ssm_out_norm_b.bin,float32,4,4,layers_encoder_phase.1.blocks.0.ss2d.out_norm.bias,
pvss_ds_weight_enc1_pha,ssm_out_projection_w,ssm_out_projection_w.bin,pvss_ds_weight_enc1_pha/ssm_out_projection_w.bin,float32,8,2x4,layers_encoder_phase.1.blocks.0.ss2d.out_proj.weight,
pvss_ds_weight_enc1_pha,mlp_norm_w,mlp_norm_w.bin,pvss_ds_weight_enc1_pha/mlp_norm_w.bin,float32,32,32,layers_encoder_phase.1.blocks.0.norm2.weight,
pvss_ds_weight_enc1_pha,mlp_norm_b,mlp_norm_b.bin,pvss_ds_weight_enc1_pha/mlp_norm_b.bin,float32,32,32,layers_encoder_phase.1.blocks.0.norm2.bias,
pvss_ds_weight_enc1_pha,mlp_fc1_w,mlp_fc1_w.bin,pvss_ds_weight_enc1_pha/mlp_fc1_w.bin,float32,1024,32x32,layers_encoder_phase.1.blocks.0.mlp.fc1.weight,
pvss_ds_weight_enc1_pha,mlp_fc1_b,mlp_fc1_b.bin,pvss_ds_weight_enc1_pha/mlp_fc1_b.bin,float32,32,32,layers_encoder_phase.1.blocks.0.mlp.fc1.bias,
pvss_ds_weight_enc1_pha,mlp_fc2_w,mlp_fc2_w.bin,pvss_ds_weight_enc1_pha/mlp_fc2_w.bin,float32,2048,64x32,layers_encoder_phase.1.blocks.0.mlp.fc2.mlp_dim_redu.weight,
pvss_ds_weight_enc1_pha,mlp_fc2_b,mlp_fc2_b.bin,pvss_ds_weight_enc1_pha/mlp_fc2_b.bin,float32,64,64,<generated>,zero bias placeholder
pvss_ds_weight_enc1_pha,mlp_fc_res_w,mlp_fc_res_w.bin,pvss_ds_weight_enc1_pha/mlp_fc_res_w.bin,float32,2048,64x32,layers_encoder_phase.1.blocks.0.skip_proj.skip_dim_redu.weight,
pvss_ds_weight_enc1_pha,mlp_fc_res_b,mlp_fc_res_b.bin,pvss_ds_weight_enc1_pha/mlp_fc_res_b.bin,float32,64,64,<generated>,zero bias placeholder
pvss_ds_weight_enc1_pha,mlp_sumpool_w,mlp_sumpool_w.bin,pvss_ds_weight_enc1_pha/mlp_sumpool_w.bin,float32,128,32x2x2,layers_encoder_phase.1.blocks.0.mlp.fc2.mlp_sumpool.weight,
pvss_ds_weight_enc1_pha,mlp_dim_reduce_w,mlp_dim_reduce_w.bin,pvss_ds_weight_enc1_pha/mlp_dim_reduce_w.bin,float32,1,1,<unused>,unused optional field
pvss_ds_weight_enc1_pha,skip_reduce_w,skip_reduce_w.bin,pvss_ds_weight_enc1_pha/skip_reduce_w.bin,float32,1,1,<unused>,unused optional field
pvss_ds_weight_enc2_mag,ssm_in_norm_w,ssm_in_norm_w.bin,pvss_ds_weight_enc2_mag/ssm_in_norm_w.bin,float32,64,64,layers_encoder_mag.2.blocks.0.norm.weight,
pvss_ds_weight_enc2_mag,ssm_in_norm_b,ssm_in_norm_b.bin,pvss_ds_weight_enc2_mag/ssm_in_norm_b.bin,float32,64,64,layers_encoder_mag.2.blocks.0.norm.bias,
pvss_ds_weight_enc2_mag,ssm_in_projection_w,ssm_in_projection_w.bin,pvss_ds_weight_enc2_mag/ssm_in_projection_w.bin,float32,64,16x4,layers_encoder_mag.2.blocks.0.ss2d.in_proj.weight,
pvss_ds_weight_enc2_mag,ssm_dw_conv2d_w,ssm_dw_conv2d_w.bin,pvss_ds_weight_enc2_mag/ssm_dw_conv2d_w.bin,float32,72,8x3x3,layers_encoder_mag.2.blocks.0.ss2d.conv2d.weight,
pvss_ds_weight_enc2_mag,ssm_dw_conv2d_b,ssm_dw_conv2d_b.bin,pvss_ds_weight_enc2_mag/ssm_dw_conv2d_b.bin,float32,8,8,layers_encoder_mag.2.blocks.0.ss2d.conv2d.bias,
pvss_ds_weight_enc2_mag,ssm_dw_conv1d_w,ssm_dw_conv1d_w.bin,pvss_ds_weight_enc2_mag/ssm_dw_conv1d_w.bin,float32,96,12x8,layers_encoder_mag.2.blocks.0.ss2d.x_proj_conv.weight,
pvss_ds_weight_enc2_mag,ssm_dt_projection_w,ssm_dt_projection_w.bin,pvss_ds_weight_enc2_mag/ssm_dt_projection_w.bin,float32,32,32x1,layers_encoder_mag.2.blocks.0.ss2d.dt_proj_conv.weight,
pvss_ds_weight_enc2_mag,ssm_A,ssm_A.bin,pvss_ds_weight_enc2_mag/ssm_A.bin,float32,32,32x1,layers_encoder_mag.2.blocks.0.ss2d.A_logs,A = -exp(A_logs)
pvss_ds_weight_enc2_mag,ssm_Ds,ssm_Ds.bin,pvss_ds_weight_enc2_mag/ssm_Ds.bin,float32,32,32,layers_encoder_mag.2.blocks.0.ss2d.Ds,
pvss_ds_weight_enc2_mag,ssm_delta_bias,ssm_delta_bias.bin,pvss_ds_weight_enc2_mag/ssm_delta_bias.bin,float32,32,32,layers_encoder_mag.2.blocks.0.ss2d.dt_projs_bias,
pvss_ds_weight_enc2_mag,ssm_out_norm_w,ssm_out_norm_w.bin,pvss_ds_weight_enc2_mag/ssm_out_norm_w.bin,float32,8,8,layers_encoder_mag.2.blocks.0.ss2d.out_norm.weight,
